file,#,description,eif,value,income-type,income-amount
"Kushner, Jared",2.4,"WALLKILL APARTMENTS ASSOCIATES, LP (Commercial Real Estate in Chicago, IL)",N/A,"$100,001 - $250,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",2.5,"VILLAGE KF 4-9-10 ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",2.6,"K GAIA VILLAGE 1 ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",2.7,"K GAIA VILLAGE 2 ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",2.8,"KUSHNER PHILADELPHIA MEMBER, LLC (Residential Real Estate in Philadelphia, PA)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",2.9,"PINECREST LAKE BUILDING ASSOCIATES, LP (Undeveloped Real Estate in Tobyhanna Township, PA)",N/A,"$100,001 - $250,000",,None (or less than $201)
"Kushner, Jared",2.10,"PUCK BUILDING, LP (Commercial Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",2.11,"PUCK RESIDENTIAL ASSOCIATES, LLC (Residential Condomiums in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"Over $5,000,000"
"Kushner, Jared",2.12,"PUCK RESIDENTIAL ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",2.13,"PUCK RESIDENTIAL ASSOCIATES, LLC (Residential Real Estate in Leonia, NJ)",N/A,"$250,001 - $500,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",2.14,"715 PARK AVENUE ASSOCIATES, LP (Residential Real Estate in New York, NY)",N/A,"$250,001 - $500,000",Rent or Royalties,"$5,001 - $15,000"
"Kushner, Jared",2.15,"SIXTY ONE ASSOCIATES, LLC (Commercial Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",2.16,"WESTMINSTER MAD ASSOCIATES, LLC (Commercial Real Estate in New York, NY)",N/A,"$250,001 - $500,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",2.17,"WEST END BUILDING ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",2.18,"WESTMINSTER LINDEN, LLC (Residential Real Estate in Brooklyn, NY)",N/A,"$250,001 - $500,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",2.19,U.S. money market account #1 (cash),N/A,"$15,001 - $50,000",,None (or less than $201)
"Kushner, Jared",2.20,"COLUMBIA WINDOWS, LLC (Investment in DHD Windows and Doors; New York, NY)",N/A,"None (or less than $1,001)",Ordinary Business Income,"$21,000"
"Kushner, Jared",2.21,"DJNJ FRITO, LLC (Insurance brokerage license; Florham Park, NJ)",N/A,"None (or less than $1,001)",Brokerage commissions,"$20,000"
"Kushner, Jared",2.22,"KF- C-III RECOVERY FUND II, LLC (Financial investments in C-III Recovery Fund II, LP)",N/A,"None (or less than $1,001)",Capital Gains Interest,"$201 - $1,000"
"Kushner, Jared",2.23,"KF- Faire Fund II, LLC (Financial investments in The Faire Fund II, LP; Israel)",N/A,"None (or less than $1,001)",Capital Gains,"$5,001 - $15,000"
"Kushner, Jared",2.24,"KF- Park Street Capital PE Fund IX, LLC (Financial investments in Park Street Capital Private Equity Fund; Boston, MA)",N/A,"None (or less than $1,001)",Capital Gains Interest,"$15,001 - $50,000"
"Kushner, Jared",2.25,"KF- RCG Longview Debt Fund IV, LLC (Financial investments in RCG Longview Debt Fund IV LP; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Interest,"$5,001 - $15,000"
"Kushner, Jared",2.26,"LW Investors, LLC (Financial investments in Leeds Equity Partners IV, LP; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Interest,"$15,001 - $50,000"
"Kushner, Jared",2.27,"Kushner Media Ventures, LLC (Financial investments in Thrive Capital Partners, LLC; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Interest,"$100,001 - $1,000,000"
"Kushner, Jared",2.28,"Thrive Capital Partners II, LP (Financial investments; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Interest,"$100,001 - $1,000,000"
"Kushner, Jared",2.29,"Thrive Capital Partners III, LP (Financial investments; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Interest,"$1,000,001 - $5,000,000"
"Kushner, Jared",3,Trust #3,No,,,
"Kushner, Jared",3.1,"30 FLORHAM ASSOCIATES, LLC (Commercial Real Estate in Florham Park, NJ)",N/A,"$250,001 - $500,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",3.2,"CK BERGEN ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",3.3,"COLTS NECK BUILDING ASSOCIATES, LLC (Undeveloped Real Estate in Colts Neck, NJ)",N/A,"$500,001 - $1,000,000",,None (or less than $201)
"Kushner, Jared",3.4,"COLUMBIA CORPORATE CENTER DEVELOPMENT ASSOCIATES, LLC (Commercial Real Estate in Florham Park, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
"Kushner, Jared",3.5,"DEER TREE BUILDING ASSOCIATES, LLC (Undeveloped Real Estate in Hardyston Township, NJ)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Kushner, Jared",3.6,"FLORHAM PARK REALTY ASSOCIATES, LLC (Commercial Real Estate in Florham Park, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",3.7,"LANDINGS AT CASPIAN POINTE, LLC (Undeveloped Real Estate in Atlantic City, NJ)",N/A,"$250,001 - $500,000",,None (or less than $201)
"Kushner, Jared",3.8,"LIVINGSTON HILLS BUILDING ASSOCIATES, LLC (Real Estate Under Construction in Livingston, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",3.9,"MAGNOLIA BUILDING ASSOCIATES, LLC (Undeveloped Assets in Pemberton, NJ)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Kushner, Jared",3.10,"MONMOUTH MALL, LLC (Commercial Real Estate in Eatontown, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
"Kushner, Jared",3.11,"MONMOUTH MALL 2, LLC (Commercial Real Estate in Eatontown, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
"Kushner, Jared",3.12,"B MONMOUTH MALL, LLC (Commercial Real Estate in Eatontown, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",3.13,"ROUTE 10 ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",3.14,"SIXTY-SIX WEST ASSOCIATES, LLC (Commercial Real Estate in Livingston, NJ)",N/A,"$250,001 - $500,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",3.15,"SKYLINE KUSHNER, LLC (Residential Real Estate in Hasbrouck Heights & Lodi, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",3.16,"THE LANDINGS AT HARBORSIDE, LLC (Residential Real Estate in Perth Amboy, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",3.17,"THE LANDINGS AT HARBORSIDE, LLC (Undeveloped Assets in Perth Amboy, NJ)",N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
"Kushner, Jared",3.18,"VREELAND AVENUE ASSOCIATES, LLC (Commercial Real Estate in Florham Park, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",3.19,"55 CHALLENGER ROAD ASSOCIATES, LLC (Commercial Real Estate in Ridgefield Park, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",3.20,"LINDENLAWN APARTMENT ASSOCIATES, LLC (Residential Real Estate in Englewood, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",3.21,"MERRITT ASSOCIATES, LLC (Residential Real Estate in Dumont, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$5,001 - $15,000"
"Kushner, Jared",3.22,"CRANBURY BUILDING ASSOCIATES, LLC (Undeveloped real estate in Cranbury, NJ)",N/A,"None (or less than $1,001)",Gross income from sale of land,"$75,000"
"Kushner, Jared",3.23,"GALLANT FUNDING, LP (Undeveloped real estate in Cranbury, NJ)",N/A,"None (or less than $1,001)",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",3.24,"NEW JERSEY RENEWABLE POWER, LLC (operation of solar panels; Florham Park, NJ)",N/A,"None (or less than $1,001)",Solar power income,"$20,000"
"Kushner, Jared",3.25,"KF-CENTERVIEW, LLC (Financial investments in Centerview Capital, LP; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$5,001 - $15,000"
"Kushner, Jared",3.26,"SQ ASSOCIATES, LLC (Financial investments in Square Mile Partners, LP; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$15,001 - $50,000"
"Kushner, Jared",3.27,"SQK ASSOCIATES, LLC (Financial investments in Square Mile Partners, LP; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$5,001 - $15,000"
"Kushner, Jared",3.28,"CK LIVINGSTON ESPLANADE, LLC (Westminster Hotel; Livingston, NJ)",N/A,"None (or less than $1,001)",Hotel revenue,"$686,000"
"Kushner, Jared",4,Trust #4,No,,,
"Kushner, Jared",4.1,"184 KENT ASSOCIATES, LLC (Residential Real Estate in Brooklyn, NY)",N/A,"$250,001 - $500,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.2,"CHATHAM HILL ASSOCIATES, LLC (Residential Real Estate in Chatham, NJ)",N/A,"$250,001 - $500,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",4.3,"ELMWOOD V. ASSOCIATES, LP (Commercial Real Estate in Chicago, IL)",N/A,"$15,001 - $50,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",4.4,"LANDINGS APARTMENTS, LLC (Commercial Real Estate in Chicago, IL)",N/A,"$250,001 - $500,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",4.5,"GELLERT 80 WEST END, LLC (Residential Real Estate in Long Branch, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
"Kushner, Jared",4.6,"GELLERT 80 WEST END, LLC (Commercial Real Estate in Astoria, NY)",N/A,"$50,001 - $100,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.7,"GOWAN ASSOCIATES, LLC (Undeveloped Real Estate in Brooklyn, NY)",N/A,"$250,001 - $500,000",Rent or Royalties,"$2,501 - $5,000"
"Kushner, Jared",4.8,"IROQOUIS PROPERTIES, LP (Residential Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",4.9,"K 26 JOURNAL SQUARE, LLC (Commercial Real Estate in Jersey City, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.10,"K 30 JOURNAL SQUARE, LLC (Undeveloped Real Estate in Jersey City, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.11,"K ASTORIA, LLC (Residential Real Estate in Astoria, NY)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",4.12,"K STONEHAGE VILLAGE 1 ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.13,"VILLAGE KF 2 KM, LLC (Residential Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",4.14,"VILLAGE KF 4-9-10 ASSOCIATES, LP (Residential Real Estate in New York, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",4.15,"65 BAY, LLC (f/k/a GAIA JC, LLC) (Residential Real Estate in Jersey City, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.16,"K ONE JOURNAL SQUARE, LLC (Undeveloped Real Estate in Jersey City, NJ)",N/A,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
"Kushner, Jared",4.17,"KC DUMBO HOTEL, LLC (Option to Purchase Commercial Real Estate in Brooklyn, NY)",N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
"Kushner, Jared",4.18,"KC DUMBO OFFICE, LLC (Commercial Real Estate in Brooklyn, NY)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",4.19,"KF MIDDLE RIVER, LLC (Residential Real Estate in Middle River & Essex, MD)",N/A,"None (or less than $1,001)",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",4.20,"KF WESTWOOD PARTNER, LLC (Residential Real Estate in Westwood & River Vale, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",4.21,"KF-BLS MEMBER, LLC (Residential Real Estate in Brooklyn, NY)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",4.22,"PUCK BUILDING, LP (Commercial Real Estate in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",4.23,"ROUTE 10 ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.24,"STATE TOWER OF SYRACUSE ASSOCIATES, LLC (Residential Real Estate in Leonia, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.25,"TIME SQUARE ASSOCIATES, LLC (Commercial Real Estate in New York, NY)",N/A,"$5,000,001 - $25,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
"Kushner, Jared",4.26,"WARREN AT BAY ASSOCIATES, LLC (Commercial Real Estate in Jersey City, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$2,501 - $5,000"
"Kushner, Jared",4.27,"WT 25 COLUMBIA, LLC (Real Estate Under Construction in Brooklyn, NY)",N/A,"$250,001 - $500,000",,None (or less than $201)
"Kushner, Jared",4.28,"115 EAST 87, LLC (Carried Interest in Residential Real Estate in New York, NY)",N/A,"$250,001 - $500,000",,None (or less than $201)
"Kushner, Jared",4.29,"80 ML, LLC (Commercial Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.30,"KF-WIP CO. INVESTORS I, LLC (Industrial Real Estate in Middletown, PA)",N/A,"$15,001 - $50,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",4.31,"KKC ASSOCIATES, LLC (Residential Real Estate in Kansas City, MO)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Kushner, Jared",4.32,"STONE 16 ASSOCIATES, LLC (Residential Real Estate in New York, NY)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",4.33,"P.V. DEVELOPMENT, LLC (Undeveloped Real Estate in Long Branch, NJ)",N/A,"$500,001 - $1,000,000",Interest,"$1,001 - $2,500"
"Kushner, Jared",4.34,"FLATBUSH 340 LENDER, LLC (Loan Receivable from 9 Dekalb Owner LLC; Brooklyn, NY)",N/A,"$250,001 - $500,000",Interest,"$100,001 - $1,000,000"
"Kushner, Jared",4.35,"KCOF-215 MOORE, LLC (Loan Receivable from Heritage Equities; Brooklyn, NY)",N/A,"$100,001 - $250,000",Interest,"$100,001 - $1,000,000"
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",4.36,"OBSERVER CAPITAL SM SPV, LLC (shares of corp stock in Source Media Holdings Inc,; New York, NY)",N/A,"$5,000,001 - $25,000,000",,None (or less than $201)
"Kushner, Jared",4.37,"OC PARTNERS, LLC (Cash; New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"$1,000,001 - $5,000,000"
"Kushner, Jared",4.38,"BRUCKNER P CORP. (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"Over $5,000,000"
"Kushner, Jared",4.39,"BRUCKNER PLAZA CENTER, LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"Over $5,000,000"
"Kushner, Jared",4.40,"FIFTH ASSOCIATES, LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"Over $5,000,000"
"Kushner, Jared",4.41,"CK REALTY HOLDINGS, LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"Over $5,000,000"
"Kushner, Jared",4.42,"CK REALTY HOLDINGS, LLC (Commercial Real Estate in Wippany, NJ)",N/A,"None (or less than $1,001)",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",4.43,"KFF 29 Second Avenue Realty, LLC (residential real estate in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",5,Trust #5,No,,,
"Kushner, Jared",5.1,"BRYNWOOD GARDENS (Residential Real Estate in Old Bridge, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",5.2,"CHERRY PINES APARTMENTS (Residential Real Estate in Elizabeth, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",5.3,"COLONIAL HEIGHTS, LLC (Residential Real Estate in Parsippany, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",5.4,"DARTMOUTH VILLAGE, LLC (Residential Real Estate in Parsippany, NJ)",N/A,"$250,001 - $500,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",5.5,"EASTON NORTH ASSOCIATES, LP (Residential Real Estate in Franklin Township, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",5.6,"FELMORE ASSOCIATES (Residential Real Estate in South River, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",5.7,"FIVE ACRE JV (Industrial Real Estate in Union, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$2,501 - $5,000"
"Kushner, Jared",5.8,"KAY & ARR REALTY ASSOCIATES (Residential Real Estate in Elizabeth, NJ)",N/A,"$15,001 - $50,000",Rent or Royalties,"$5,001 - $15,000"
"Kushner, Jared",5.9,"LMP JV (Industrial Real Estate in Edison, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$5,001 - $15,000"
"Kushner, Jared",5.10,"LODI PHILLIPSBURG APARTMENT ASSOCIATES (Residential Real Estate in Lodi, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",5.11,"MARTHA BELL ASSOCIATES, LLC (Residential Real Estate in Elizabeth, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$5,001 - $15,000"
"Kushner, Jared",5.12,"MT. PLEASANT JV (Commercial Real Estate in West Orange, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$5,001 - $15,000"
"Kushner, Jared",5.13,"NETCONG HEIGHTS ASSOCIATES, LLC (Residential Real Estate in Netcong, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",5.14,"OXFORD ARMS ASSOCIATES LIMITED PARTNERSHIP (Residential Real Estate in Edison, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",5.15,"PARK LAKE VILLAGE (Residential Real Estate in Parsippany, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",5.16,"PARK LANE MOBILE HOME PARK (Residential Real Estate in Union, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$2,501 - $5,000"
"Kushner, Jared",5.17,"PINEFIELD MANOR, LLC (Residential Real Estate in Denville, NJ)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",5.18,"PRINCETON HORIZON APARTMENTS (Residential Real Estate in South Brunswick, NJ)",N/A,"$250,001 - $500,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",5.19,"RIVER EDGE APARTMENTS (Residential Real Estate in Ewing, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
"Kushner, Jared",5.20,"SKYTOP GARDENS (Residential Real Estate in Sayreville, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",5.21,"TAYLOR EDISION JV (Industrial Real Estate in Edison, NJ)",N/A,"$15,001 - $50,000",Rent or Royalties,"$1,001 - $2,500"
"Kushner, Jared",5.22,"THE PINES APARTMENTS (Residential Real Estate in Elizabeth, NJ)",N/A,"$50,001 - $100,000",Rent or Royalties,"$5,001 - $15,000"
"Kushner, Jared",5.23,"TOV MANOR ASSOCIATES, LP (Residential Real Estate in New Brunswick, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$50,001 - $100,000"
"Kushner, Jared",5.24,"WESTFIELD JV (Commercial Real Estate in Westfield, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$5,001 - $15,000"
"Kushner, Jared",5.25,"SCHOOLHOUSE JV (Commercial Real Estate in Milburn, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$2,501 - $5,000"
"Kushner, Jared",6,Trust #6,No,,,
"Kushner, Jared",6.1,"200 EAST 62ND 25A, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",6.2,"200 EAST 62ND 25B, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",6.3,"200 EAST 62ND 26D, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,"$15,001 - $50,000"
"Kushner, Jared",6.4,"212 5TH 7C, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,None (or less than $201)
"Kushner, Jared",6.5,"212 5TH 8C, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,None (or less than $201)
"Kushner, Jared",6.6,"212 5TH 9C, LLC (Residential Real Estate in New York, NY)",N/A,"$100,001 - $250,000",Rent or Royalties,None (or less than $201)
"Kushner, Jared",7,Trust #7,No,,,
"Kushner, Jared",7.1,"Lincoln National Life Insurance Company, Variable Life",No,,,
"Kushner, Jared",7.1.1,SSGA Bond Index Fund,Yes,"$100,001 - $250,000",,None (or less than $201)
"Kushner, Jared",7.1.2,JPMorgan High Yield Fund,Yes,"$15,001 - $50,000",,None (or less than $201)
"Kushner, Jared",7.1.3,Delaware Diversified Floating Rate Fund,Yes,"$15,001 - $50,000",,None (or less than $201)
"Kushner, Jared",,,,,,AMOUNT
"Kushner, Jared",7.1.4,Delaware VIP REIT Series,Yes,"$50,001 - $100,000",,None (or less than $201)
"Kushner, Jared",7.1.5,Dimensional International Core Equity Fund,Yes,"$100,001 - $250,000",,None (or less than $201)
"Kushner, Jared",7.1.6,Dimensional U.S. Core Equity Fund,Yes,"$250,001 - $500,000",,None (or less than $201)
"Kushner, Jared",8,"55 CHALLENGER ROAD ASSOCIATES, LLC (Commercial Real Estate in Ridgefield Park, NJ)",N/A,"$1,000,001 - $5,000,000",Rent or Royalties,"$1,000,001 - $5,000,000"
"Kushner, Jared",9,"570 WEST MT. PLEASANT ASSOCIATES, LLC (Residential Real Estate in Livingston, NJ)",N/A,"$500,001 - $1,000,000",Rent or Royalties,"$100,001 - $1,000,000"
